name,price,24hChange
Bitcoin,"$39,353.97",+0.05%
Ethereum,"$2,608.93",+0.11%
Tether,$1.01,-0.01%
BNB,$376.90,+0.37%
USD Coin,$1.00,-0.01%
XRP,$0.805,-2.30%
Terra,$88.64,-4.16%
Cardano,$0.8057,+0.25%
Solana,$83.20,+0.38%
Avalanche,$71.87,-2.38%
Binance USD,$0.9999,-0.01%
Polkadot,$18.25,-1.68%
Dogecoin,$0.1174,-0.68%
TerraUSD,$1.00,-0.06%
Shiba Inu,$0.00002284,-0.22%
Polygon,$1.43,-0.91%
Wrapped Bitcoin,"$39,646.45",+0.14%
Cronos,$0.39,+0.32%
Dai,$1.01,-0.05%
Cosmos,$27.54,-2.15%
Litecoin,$106.98,-0.65%
NEAR Protocol,$10.45,-1.69%
Chainlink,$13.49,+0.00%
TRON,$0.06021,+0.35%
Uniswap,$8.76,-1.22%
FTX Token,$41.37,+0.49%
Bitcoin Cash,$297.32,+0.96%
UNUS SED LEO,$5.83,+0.02%
Algorand,$0.7181,+0.48%
Stellar,$0.1894,+0.16%
Decentraland,$2.41,+1.48%
Bitcoin BEP2,"$39,169.46",+0.14%
Hedera,$0.2104,+0.23%
Ethereum Classic,$26.79,-0.97%
Monero,$192.40,+10.64%
Internet Computer,$16.45,-0.59%
The Sandbox,$2.89,+1.99%
Filecoin,$18.09,+1.70%
Elrond,$141.72,-0.74%
Fantom,$1.20,-3.79%
VeChain,$0.04759,+0.38%
Waves,$27.71,+9.44%
Klaytn,$1.12,+0.98%
Axie Infinity,$47.74,+0.40%
Theta Network,$2.86,+1.53%
Tezos,$3.09,+1.44%
Helium,$21.99,+1.18%
Zcash,$150.90,-2.58%
THORChain,$6.56,+6.32%
Flow,$5.66,-1.52%
